ESTUDIO;PONDERADOR;REGION_DEF;F0;A_EXACTA;A_RANGO;F3_SEXO;N_HOGAR;N_AFILIADOS;SEXO_1;EDAD_1;AFI_1;SEXO_2;EDAD_2;AFI_2;SEXO_3;EDAD_3;AFI_3;SEXO_4;EDAD_4;AFI_4;SEXO_5;EDAD_5;AFI_5;SEXO_6;EDAD_6;AFI_6;SEXO_7;EDAD_7;AFI_7;SEXO_8;EDAD_8;AFI_8;SEXO_9;EDAD_9;AFI_9;SEXO_10;EDAD_10;AFI_10;SELECCION;P2;P3;P4;P5;P6;A1;A2;A2_COD_1;A2_COD_2;A2_COD_3;A2_COD_4;A2_COD_5;A3;A4;A4_COD_11;A4_COD_21;A4_COD_3;A4_COD_4;A4_COD_5;A4_COD_1_1;A4_COD_1_2;A4_COD_1_3;A4_COD_1_4;A4_COD_1_5;A4_COD_2_1;A4_COD_2_2;A4_COD_2_3;A4_COD_2_4;A4_COD_2_5;A5;A6;A7_1;A7_2;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;A9_7;A10_1;A10_OTRO1;A10_2;A10_OTRO1_1;A11_1;A11_OTRO1;A11_2;A11_OTRO2;A12_1;A12_OTRO1;A12_2;A12_OTRO2;A13_1;A13_OTRO1;A13_2;A13_OTRO2;A14;A15;A_15_COD_1;A_15_COD_2;A_15_COD_3;A_15_COD_4;A_15_COD_5;B1;B2;B3_1;B3_2;B3_OTRO;B3A;B4;B5;B6;B6_OTRO;B7;B9A;B9B;B9C;B10_1;B10_2;B10_3;B10_4;B10_5;B10_6;B12;B13;B14;B14_1;B14_2;B14_1_1;B14_2_1;B14_TOTAL;B14_TOTAL_1;C1;C4;C5_1;C5_2;C5_3;C5_OTRO;C6;C8_1;C8_2;C8_3;C8_4;C8_5;C8_6;D1;D2;D2_OTRO;D3_11;D3_21;D3_31;D3_41;D3_1;D3_2;D3_3;D3_4;D3_1_1;D3_2_1;D3_3_1;D3_4_1;D3_TOTAL;D3_TOTAL_1;D4;D5_1;D5_2;D6_1;D6_OTRO1;D6_2;D6_OTRO2;D7;D7_OTRO;D8;D8_1;D10;D10_1;D10_2;D10_1_1;D10_2_1;D10_TOTAL;D10_TOTAL_1;D13_1;D13_2;D14;D15;D16;D17;E1;E1_OTRO;E10;E10_OTRO;E11;E11_OTRO;E2;E2_OTRO;E3;E3_OTRO;E4;E5;E5_OTRO_1;E6;E8_1;E8_2;E8_3;E8_4;E8_5;E8_6;E8_7;E8_8;E8_9;E8_10;E8_11;E9;E9_1;E9_1_COD_1;E9_1_COD_2;E9_1_COD_3;E12_1;E12_2;E12_3;E13;E13_1;E13_1_COD_1;E13_1_COD_2;E13_1_COD_3;E13_1_COD_4;E14;E15_1_1;E15_1_2;E15_1_3;E15_1_4;E15_1_5;E15_1_6;E15_1_7;E15_1_8;E15_2_1;E15_2_2;E15_2_3;E15_2_4;E15_2_5;E15_2_6;E15_3_1;E15_3_2;E15_3_3;E15_3_4;E15_3_5;E15_3_6;E15_4_1;E15_4_2;E15_4_3;E15_4_4;E15_4_5;E15_5_1;E15_5_2;E15_5_3;E15_5_4;E15_5_5;E15_6_1;E15_6_2;E15_6_3;E15_6_4;E15_6_5;E15_6_6;E15_7_1;E15_7_2;E15_7_3;E15_7_4;E15_7_5;E15_7_6;E15_7_7;E15_8_1;E15_8_2;E15_8_3;E15_8_4;E15_8_5;E15_8_6;E15_8_7;E15_9_1;E15_9_2;E15_9_3;E15_9_4;F1;F1_1;F2;F3;F4_LITERAL;F4_COD_1_1;F4_COD_1_2;F5;F7;CAB_EDAD;CAB_SEXO;CAB_REGION;FECHA;EQUILIBRAR_FONASA_1;REGION_TIPO_FONASA;C_81;C_82;C_83;C_84;C_85;C_86;A3_logit;A1_dico;A5_dico;A7_1dico;A7_2dico;A14_dico;C4_dico;B2_dico;a10_bajoscostos;a11_espera;a11_sinespecialistas;a12_cobertura;a13_costos;C6_rec;filter_$;PredictedValue;PredictedValue_1
15516_SALUD_VF;0,472294141;13;1;31;1;1;4;2;2;31;2;1;31;2; ; ; ; ; ; ; ; ; ;2;07-03-88;2;1;1;5;-; ; ; ;5;Es bueno pero podria mrjorar y bajar los planes;6; ; ; ;6; ; ; ;6; ; ; ;5;2;6;6;1;2;2;2;2;2;2;2;-;-;-;-;1;-;5;-;5;-;2;-;4;Bajar losvprecios de los planes;62; ;2;98;3; ;-;1;4;-;3;-;4;8;8;8;8;8;8;2;-;-;-;5;-;88;98;4;-;5;-;5;-;5;-;4;-;2;-;6;6;5;6;8;5;8;4;8;5;7;1;Supervisar que atiendan a las personas;346; ;4; ;88;-; ; ;3;4; ; ; ; ;4; ; ; ;4; ; ; ;4; ; ;8; ; ;9; ; ; ; ;8; ; ; ; ;2; ; ; ;9; ;15;30;1;99;No responde;999;998;99;9;1;1;2;2;96;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;20;1;1;5;5;1;20;2;1;58;2;2;55;2;2;25;2;1;17;2; ; ; ; ; ; ; ; ; ;1;23-10-19;2;3;2;1;Por que el enfermarse en este paÌs es muy caro;1; ; ; ;1;Por que hay queavar por todo como los insumos;1; ; ; ;1; ; ; ;1; ; ; ;1;3;2;5;2;-;-;-;-;100;-;100;-;1;-;5;-;1;Bajar costo planes que no te suban los planes siempre y que si tu no haces uso del sistema tengas un reembolso de lo que pagas mes a mes;62;1; ;3; ;-;-;3;-;4;8;8;8;8;8;8;2;-;-;-;4;-;77;2;5;-;7;-;6;-;7;-;98;-;2;-;1;1;1;1;1;1;1;1;1;1;1;1;Observar que loa hospitales funcionen bien;347; ;2; ;88;-; ; ;98;9; ; ; ; ;9; ; ; ;9; ; ; ;9; ; ;9; ; ;9; ; ; ; ;9; ; ; ; ;9; ; ; ;9; ;11;18;2;-;9;1;1;2;2;96;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,459851939;13;1;30;1;2;7;5;2;30;1;1;30;2;2;28;1;2;42;1;1;45;2; ; ; ; ; ; ; ; ; ;1;12-09-89;1;2;1;2;5;-; ; ; ;5;Es lenta la atencion;32; ; ; ;32; ; ; ;32; ; ; ;5;2;5;4;2;6;-;3;-;5;-;2;-;-;-;-;-;6;Fonasa no es caro los bonos pero el reembolso se demoran;61;1; ;3; ;-;-;2;5;1;-;4;4;5;4;3;3;4;2;-;-;-;2;-;77;2;4;-;5;-;98;-;7;-;-;-;5;7;6;5;5;6;6;5;4;5;5;1;fiscalizar a los consultorios;348; ;1; ;1;mal trato del sistema de salud y cobros exesivos;501;562; ; ;6;2;4;1; ; ; ; ;2; ; ; ;2; ; ; ;9; ; ;98; ; ;4; ; ; ; ;4; ; ; ; ;4; ; ; ;4; ;9;18;2;-;9;1;2;2;1;32;32;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,703437695;1;1;70;3;2;5;2;2;50;1;2;70;1; ; ; ; ; ; ; ; ; ;2;08-07-49;1;2;1;2;7;-; ; ; ;6;Porque la hra de mÈdico la dan de un mes a otro y no la dan en la semana;23; ; ; ;23; ; ; ;23; ; ; ;3;2;6;5;1;99;99;99;99;99;99;99;2;-;3;-;4;-;9;-;-;-;-;-;7;Todo est· muy bien;0; ;3; ;-;-;3;-;4;9;9;9;9;9;9;2;-;-;-;2;-;77;2;2;-;6;-;7;-;4;-;-;-;7;7;7;7;7;7;7;7;7;7;7;88;-; ;1; ;88;-; ; ;7;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ;2; ; ;2; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ;7;10;2;-;99;3;2;1;1;17;18;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,541551067;2;1;18;1;2;4;4;2;18;2;1;56;2;1;13;2;2;52;2; ; ; ; ; ; ; ; ; ;1;26-09-01;2;2;2;6;-; ; ; ;5;Porque abeces no hay hora;23; ; ; ;23; ; ; ;23; ; ; ;3;2;4;3;2;-;-;-;-;6;-;1;-;3;-;2;-;5;Ener mas cobertura en lis planes cubren muy picasas vosas;71;131; ;3; ;-;-;3;-;4;2;2;3;2;2;5;2;-;-;-;5;-;77;2;1;-;5;-;6;-;7;-;6;-;2;-;3;5;1;1;4;4;4;5;3;3;4;1;regulacion y filcalizacion de las enfrermedades cobros vobros de remefios y cheques;361; ;4; ;1;#NOMBRE?;98; ; ;2;2; ; ; ; ;9; ; ; ;98; ; ; ;4; ; ;6;4; ; ;5;4; ; ; ; ;5;4; ; ; ; ;2; ; ; ;4; ;9;18;2;-;9;1;2;1;2;82;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,564129379;13;1;86;3;1;2;2;1;86;1;2;70;1; ; ; ; ; ; ; ; ; ;1;04-03-33;1;98;1;2;6;-; ; ; ;6;los remedios son gratis la consulta tambien y gracias a dios mi salud es relativamente buena;261; ; ; ;261; ; ; ;261; ; ; ;6;2;7;7;2;1;-;2;-;9;-;88;-;-;-;-;-;7;Yo no tengo problemas todo bien;0; ;3; ;-;-;3;-;4;8;8;8;8;8;8;2;-;-;-;7;-;77;2;98;-;98;-;98;-;98;-;-;-;5;4;3;3;4;4;4;2;2;9;9;88;-; ;98; ;88;-; ; ;1;9; ; ; ; ;9; ; ; ;98; ; ; ;98; ; ;98; ; ;98; ; ; ; ;98; ; ; ; ;98; ; ; ;98; ;1;2;-;9;3;1;2;1;80;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;37;2;2;3;3;2;37;2;1;43;2;2;69;1; ; ; ; ; ; ; ; ; ;1;30-06-01;2;1;2;5;-; ; ; ;4;Porque suben los planes de salud y no cubren todas las enfermedades;44;13; ; ; ;44;13; ; ; ;44;13; ; ; ;4;2;4;3;2;-;-;-;-;6;-;5;-;1;-;2;-;4;Falta de especialistas y suben los planes demaciado;31;62; ;2;5;5; ;-;3;4;-;2;5;2;1;-;4;4;3;5;4;4;3;2;-;-;-;5;-;88;2;4;-;5;-;5;-;5;-;4;-;2;-;2;2;1;2;2;2;2;2;1;3;3;1;Controlar el sistema salud;343; ;2;1; ;88;-; ; ;4;4;6; ; ; ; ;4;6; ; ; ;4;6; ; ; ;4;6; ; ;6;4; ; ;4;6; ; ; ; ;4;6; ; ; ; ;4; ; ; ;4;6; ;15;32;1;5;Administrativo;4;7;99;9;2;2;2;2;96;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,606426807;13;1;59;3;2;6;4;2;59;1;2;27;1;1;66;1;2;64;1; ; ; ; ; ; ; ; ; ;1;07-04-60;1;1;1;2;1;como soy i digente ya no trabajo por lo tanto no me inpongo no tengo derecho a salud digna.solo solo a la mediocridad de la salud de los sectores publicos;111; ; ; ;1;porque voy a urgencia y me tienen horas esperando para que me atiendan y la atencion es poner termometro y toman la precion solo eso hacen;93; ; ; ;93; ; ; ;93; ; ; ;1;3;1;1;2;88;-;100;-;5;-;1;-;-;-;-;-;1;Mantenernos mas informada de lo que ellos hacen o los servicios que prestan a nosotros osea los beneficios que podemos tener .difundirlo en distintos medios como carta o tv.;21;23; ;2;3;2; ;-;1;4;-;2;3;98;-;4;8;8;8;8;8;8;2;-;-;-;7;-;77;2;22;director del hospital;99;-;98;-;98;-;-;-;5;8;1;1;2;8;1;1;4;9;8;88;-; ;98; ;88;-; ; ;1;98; ; ; ; ;98; ; ; ;98; ; ; ;98; ; ;98; ; ;98; ; ; ; ;98; ; ; ; ;98; ; ; ;98; ;7;14;2;-;9;3;2;2;1;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,564129379;13;1;62;3;1;3;1;1;62;1; ; ; ; ; ; ; ; ; ;1;26-03-57;1;98;1;2;7;-; ; ; ;6;Porq voy a centros medicos es mas rapido y la atenciln es muy buena;222;206;221; ; ;222;206;221; ; ;222;206;221; ; ;5;2;4;6;2;2;-;7;-;8;-;2;-;-;-;-;-;3;No haven llegar informacion al.hogar y las oficinas son larhaa las esperas;21; ;2;6;5; ;-;3;4;-;2;5;1;-;4;5;4;5;9;5;9;2;-;-;-;1;-;77;1;6;1;1;4;-;5;-;5;-;2;-;-;-;6;5;3;9;7;5;4;5;5;5;4;1;Defender y fiscalizar los derechos de los packentes;334; ;1;2; ;1;De.los pacientes;531; ; ;5;2; ; ; ; ;4; ; ; ;4; ; ; ;98; ; ;8; ; ;4; ; ; ; ;2; ; ; ; ;2; ; ; ;9; ;9;18;1;2;Microempresario;3;157;99;9;3;1;2;1;80;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;1,541975257;2;1;51;2;2;4;4;2;51;1;2;19;1;1;19;1;1;55;1; ; ; ; ; ; ; ; ; ;1;11-10-19;1;4;2;2;4;Por falta especialista;61; ; ; ;5;Poca cobertura;14; ; ; ;14; ; ; ;14; ; ; ;5;2;4;8;2;5;-;3;-;5;-;1;-;-;-;-;-;5;Mejorar la lista de medicos;27; ;3; ;-;-;2;7;1;-;3;5;4;4;4;4;4;2;-;-;-;2;-;77;1;6;1;1;5;-;98;-;98;-;2;-;-;-;8;5;4;9;8;4;4;4;5;8;8;1;Contralar clinicas y hospitales;347; ;1;2; ;88;-; ; ;98;2; ; ; ; ;4; ; ; ;4; ; ; ;4; ; ;5; ; ;5; ; ; ; ;4;5; ; ; ; ;1; ; ; ;9; ;9;18;1;2;Cuido de niÒo;3;78;99;9;2;2;1;1;50;51;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,564129379;13;1;82;3;2;2;2;1;82;1;2;82;1; ; ; ; ; ; ; ; ; ;2;17-01-38;1;98;1;2;6;-; ; ; ;6;Porque me atienden bien;221; ; ; ;221; ; ; ;221; ; ; ;7;2;5;6;1;2;2;2;2;2;2;2;2;-;6;-;4;-;88;-;-;-;-;-;6;Porque me salen baratos los bonos;64; ;2;7;4; ;-;2;4;-;2;6;1;-;4;4;3;4;3;4;3;2;-;-;-;1;-;88;1;5;1;1;2;-;2;-;4;-;2;-;-;-;4;3;4;5;5;5;3;4;5;3;3;88;-; ;1; ;88;-; ; ;4;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ;2; ; ;2; ; ; ; ;8; ; ; ; ;8; ; ; ;8; ;9;15;2;-;9;3;2;2;1;80;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;2,78829368;8;1;24;1;1;3;1;1;24;1; ; ; ; ; ; ; ; ; ;1;27-07-95;1;4;1;2;5;-; ; ; ;5;Por que hay enfermedades que no son cubiertas;13; ; ; ;13; ; ; ;13; ; ; ;5;2;5;5;2;5;-;9;-;2;-;4;-;-;-;-;-;5;Informar para quÈ l gente no pregunte;21; ;1;6;27; ;Que la gente adulta mayor no le informan;1;4;-;1;6;1;-;4;2;2;2;2;2;3;2;-;-;-;1;-;88;2;4;-;5;-;5;-;2;-;-;-;5;6;5;5;6;5;5;5;5;6;5;88;-; ;1; ;88;-; ; ;7;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ;2; ; ;2; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ;14;28;2;-;99;1;1;1;1;56;58;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,606426807;13;1;69;3;2;4;2;2;69;1;2;48;1; ; ; ; ; ; ; ; ; ;1;20-09-19;1;1;1;2;5;-; ; ; ;5;Que las horas mÈdicas en los hospitales para ver un especialistas no sean des pues de meses;81;82; ; ; ;81;82; ; ; ;81;82; ; ; ;5;2;5;5;1;2;2;2;2;2;2;2;1;-;9;-;4;-;8;-;-;-;-;-;6;Por quÈ siempre me dan una buena informacion;0; ;2;5;2; ;-;1;4;-;2;4;1;-;4;2;8;8;2;8;3;2;-;-;-;2;-;77;1;5;1;1;4;-;5;-;5;-;2;-;-;-;2;2;4;4;3;4;3;8;4;4;2;1;Solucionar los problemas de las personas;331; ;4; ;1;#NOMBRE?;555; ; ;5;2;5; ; ; ; ;2; ; ; ;4; ; ; ;9; ; ;4; ; ;5; ; ; ; ;5; ; ; ; ;5; ; ; ;9; ;7;14;2;-;9;3;2;2;1;16;16;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,111057436;13;1;46;2;1;1;1;1;46;1; ; ; ; ; ; ; ; ; ;1;28-10-72;1;3;1;2;2;Porque no tengo informaciÛn sobre temas de enfermedades;98; ; ; ;3;Mala atenciÛn y no ocupa el sistema de salud;31; ; ; ;31; ; ; ;31; ; ; ;98;3;1;1;2;3;-;7;-;2;-;4;-;-;-;-;-;5;Menos esperas de atenciÛn;12; ;2;98;98; ;-;2;4;-;3;-;4;3;2;3;4;5;3;2;-;-;-;7;-;77;2;98;-;5;-;98;-;98;-;-;-;5;5;5;5;5;4;6;4;4;5;4;1;Agilizar tr·mites de sadud;311; ;4; ;88;-; ; ;98;9; ; ; ; ;2; ; ; ;2; ; ; ;8; ; ;8; ; ;8; ; ; ; ;2; ; ; ; ;2; ; ; ;8; ;13;28;2;-;9;2;1;2;1;48;48;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,459851939;13;1;23;1;1;3;3;1;23;1;2;52;1;1;29;2; ; ; ; ; ; ; ; ; ;1;23-12-95;1;2;1;2;6;-; ; ; ;5;Es lento el sistema;32; ; ; ;32; ; ; ;32; ; ; ;3;3;4;4;2;3;-;2;-;6;-;8;-;-;-;-;-;4;No en todos lados reciben bonos;2; ;2;4;1; ;-;1;4;-;3;-;4;3;2;3;5;4;4;2;-;-;-;2;-;77;2;2;-;2;-;1;-;4;-;-;-;5;6;4;5;5;5;4;3;6;6;4;88;-; ;1; ;88;-; ; ;5;2;6; ; ; ; ;4; ; ; ;4; ; ; ;4; ; ;2;4; ; ;2;4; ; ; ; ;2;4;5; ; ; ; ;2;4;6; ; ; ;2;4; ;12;28;2;-;9;1;1;2;1;32;32;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,606426807;13;1;71;3;2;3;3;2;71;1;1;72;1;1;47;1; ; ; ; ; ; ; ; ; ;1;17-11-47;1;1;1;2;7;-; ; ; ;7;Me atienden super bien;221; ; ; ;221; ; ; ;221; ; ; ;3;2;7;7;2;3;-;9;-;88;-;88;-;-;-;-;-;3;Por que no son claros en entregar ingormacion . Y deberiamos poder atendernos particular tb;21;53;51; ;2;2;1; ;-;2;1;1;-;2;4;3;3;5;3;3;3;98;2;3;98;-;2;2;2;3;2;2;3;2;-;-;-;1;-;77;1;7;1;1;5;-;6;-;6;-;5;-;-;-;2;2;1;2;1;2;2;2;1;2;2;1;Ven los beneficios pero no cumplen lo que hacen;351; ;4; ;88;-; ; ;4;2; ; ; ; ;8; ; ; ;98; ; ; ;98; ; ;98; ; ;98; ; ; ; ;98; ; ; ; ;98; ; ; ;98; ;7;12;2;-;9;3;2;2;1;16;16;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,540399555;5;1;57;3;2;2;2;2;57;2;1;20;1; ; ; ; ; ; ; ; ; ;1;19-09-62;2;1;1;5;-; ; ; ;1;Porque  hay muchos  costos para la mujer,  somos discriminadoas;1; ; ; ;1; ; ; ;1; ; ; ;3;3;4;4;2;-;-;-;-;9;-;6;-;1;-;100;-;4;Los costos asociados  a los planes de asistencia y cobertura;71;61; ;2;5;3; ;-;2;1;2;1;-;3;8;8;8;8;8;8;3;2;3;-;3;2;8;8;8;8;4;2;-;-;-;5;-;77;1;5;1;1;3;-;5;-;5;-;5;-;4;-;2;-;4;3;1;8;3;8;5;8;3;8;5;88;-; ;4; ;1;A dalud;522; ; ;2;2; ; ; ; ;7; ; ; ;1; ; ; ;5; ; ;5; ; ;9; ; ; ; ;6; ; ; ; ;3; ; ; ;9; ;17;26;1;4;Administrativo;4;7;99;3;3;2;1;2;85;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,208787049;14;1;45;2;1;3;1;1;45;2; ; ; ; ; ; ; ; ; ;1;23-10-74;2;1;2;4;Mi plan es caro y no cubre todo lo que realmente se necesita cuando me enfermo.;6; ; ; ;4;Por la cobertura;14; ; ; ;14; ; ; ;14; ; ; ;4;2;4;3;1;1;2;2;1;2;1;1;-;-;-;-;8;-;7;-;1;-;2;-;4;El valor de los planes.;62; ;2;4;5; ;-;3;4;-;2;4;1;-;4;3;3;2;3;3;3;2;-;-;-;5;-;77;2;1;-;5;-;7;-;5;-;1;-;2;-;3;3;4;4;4;4;4;3;4;3;3;88;-; ;4; ;88;-; ; ;4;5; ; ; ; ;4; ; ; ;5; ; ; ;6; ; ;4; ; ;5; ; ; ; ;4; ; ; ; ;8; ; ; ;3; ;15;29;1;2;Empresario;4;100;8;9;2;1;1;2;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,459851939;13;1;53;2;1;1;1;1;53;1; ; ; ; ; ; ; ; ; ;1;14-08-68;1;2;1;2;6;-; ; ; ;5;tiempo de espera,y calidad de la consulta;32;31; ; ; ;32;31; ; ; ;32;31; ; ; ;6;2;6;4;2;1;-;7;-;1;-;5;-;-;-;-;-;6;Eliminar lista de espera y atender como corresponde una atenciÛn r·pida y de c·lida;85;11;12; ;3; ;-;-;3;-;4;8;8;8;8;8;8;2;-;-;-;7;-;77;2;4;-;98;-;98;-;98;-;-;-;1;1;1;1;2;4;1;1;2;1;2;88;-; ;98; ;88;-; ; ;1;9; ; ; ; ;9; ; ; ;9; ; ; ;98; ; ;9; ; ;9; ; ; ; ;9; ; ; ; ;9; ; ; ;9; ;14;29;2;-;9;2;1;2;2;32;32;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;43;2;1;4;2;1;43;2;2;41;2; ; ; ; ; ; ; ; ; ;1;19-09-01;2;1;2;2;Porque es un sistema que cobran denacuadompir primas de salud;1; ; ; ;2;PÈsimo no puedes atenderte bien pensando que cobran hasta dÌa hospitalizaciÛn carisimo sistema;31;14; ; ; ;31;14; ; ; ;31;14; ; ; ;3;3;3;2;2;-;-;-;-;100;-;100;-;1;-;100;-;2;Todo precios costos planes;62; ;3; ;-;-;3;-;4;8;8;8;8;8;8;2;-;-;-;4;-;77;2;4;-;5;-;5;-;5;-;4;-;1;3;-;2;3;1;1;2;2;2;2;2;2;1;2;99;-; ;2;1; ;99;-; ; ;3;4; ; ; ; ;4; ; ; ;4;2; ; ; ;2;4;6; ; ;6;4;2; ; ;6;4;2; ; ; ;6;4;2; ; ; ; ;6;4;2; ; ; ;6;4; ;15;35;1;5;No responde;999;998;99;9;2;1;2;2;96;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
